"","user","target_user","layer","w_ij"
"28","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","42e7f57cfe29b44ba75fba33dbddf782be34c201cb95509f9c8b2b90664a3a12","Community",0.490071202232915
"29","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","473070200af393a81d767bb7906640497fe31b10bc2eeb1357f75d13379c6acf","Community",0.246128071729292
"30","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","858770e5f29714287d3a4c8a5d7259f9b210a0305f3a6fcff1acf5629debf851","Community",0.105927331930898
"31","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","9b3ec76a07c3eb039dbd0204c2ea3abe9e59dea5ca75590dbe1228485b858ea7","Community",0.0503882205865786
"32","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","a1e3346333f76d9059bdb89d7c800d2e8409a94e7643c4203c8479fbc52eb073","Community",0.066233782589759
"33","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","bc078d8a6a8f293ff1f5f9a47b01d12f73a4a9eb136ee4b211b72e7ca442c007","Community",0.0707969431279378
"34","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","ce53b843dc8570d78b5f499147282139002145fa2bea9a603f40158b88624ee8","Community",0.0745467169699787
"35","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","d8766cd5992291e264bfc75acbd64b93480a7b61398bb28d9328adabb5df40aa","Community",0.0608310689190204
"36","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","f80688cf292e47b83cc50524a3d1dd881b715293381eee2701e2ac3c314c57b7","Community",0.209442445827682
"37","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","09b7b5ee0da138062ecf4bc748b7c18a4a36a3f0ed10f786f19c2daa2a64f9b6","Community",0.0520755611160091
"38","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","0df203bb4f18da9d382c468a0c24504f85602ab3c2d0ad8c7385697387b50e44","Community",0.0516352821484094
"39","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","14e68c8fe6b0c71d81e1ceb8da3a68ea7ae993c343ab1bec30d193229b9cc448","Community",0.0554275686147078
"40","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","193af94072397cbf4c6404f515b2c2062b50630af6a06d0c4448abf5caec2f72","Community",0.0634538135158775
"41","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","24e260a332f9873f2cfdd93f4a93310287f30e27b23bfd72e9f24d86a85095e7","Workplace",0.0510443446583903
"42","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","2f354cc03c8c353bb74db8d109ad4c125ae031be5b7cca21f57c3a461c5c1df2","Community",0.067720502867791
"43","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","3a07090f726ed871ead70bf61324b9795f1a0f9647ea5f5c53249ee2a5ba497b","Community",0.0540033432856831
"44","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","4ce0de122fef22c389bb448fdfb500d5d401891b2cae8a34ff0fe8a6bb53fdc8","Community",0.0524969632711348
"45","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","4f1008e171fab73a5ad1b1391f31a2d85b7153c9f3190d81885c482ea9ac137b","Community",0.0534538252778123
"46","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","6764f26b593230f2c542de54b618414f98992aa2c0be01e8e4ac48dc0f0c52b8","Community",0.067323550794468
"47","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","86ac15efffd832dfeb5e1560cdcf85331424aa65db43690bdc7c5c09fb073d54","Community",0.0575451792377352
"48","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","8f7f46a396dd7e6d142d3f6a9c7f3bf5514fab85d5a614a8614461e1f1e3dfec","Workplace",0.0866144140699675
"49","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","91bf67bcbca6edd95af99d7a5d5f122bf5782a88308d2b76cdb103b89bc174a4","Community",0.0523628869395461
"50","0005f8ebe58f73f38b9d6869a3ee527a90aaa1d9b0fa35d4fdf9cf253b9e9b11","a02d25fab220afbb36ce40e8b25c2e4b10b79cd96b6c273eef9ba34d09ec6c54","Community",0.0724920216333708
